1, 1, Alegría-Dulantzi
2, 1, Amurrio
3, 1, Añana
4, 1, Aramaio
5, 1, Armiñón
6, 1, Arraia-Maeztu
7, 1, Arrazua-Ubarrundia
8, 1, Artziniega
9, 1, Asparrena
10, 1, Ayala/Aiara
11, 1, Baños de Ebro/Mañueta
12, 1, Alegría-Dulantzi
13, 1, Amurrio
14, 1, Añana
15, 1, Aramaio
16, 1, Armiñón
17, 1, Arraia-Maeztu
18, 1, Arrazua-Ubarrundia
19, 1, Artziniega
20, 1, Asparrena
21, 1, Ayala/Aiara
22, 1, Baños de Ebro/Mañueta
23, 1, Barrundia
24, 1, Berantevilla
25, 1, Bernedo
26, 1, Campezo/Kanpezu
27, 1, Elburgo/Burgelu
28, 1, Elciego
29, 1, Elvillar/Bilar
30, 1, Harana/Valle de Arana
31, 1, Iruña Oka/Iruña de Oca
32, 1, Iruraiz-Gauna
33, 1, Kripan
34, 1, Kuartango
35, 1, Labastida/Bastida
36, 1, Lagrán
37, 1, Laguardia
38, 1, Lanciego/Lantziego
39, 1, Lantarón
40, 1, Lapuebla de Labarca
41, 1, Laudio/Llodio
42, 1, Legutiano
43, 1, Leza
44, 1, Moreda de Álava
45, 1, Navaridas
46, 1, Okondo
47, 1, Oyón-Oion
48, 1, Peñacerrada-Urizaharra
49, 1, Ribera Alta
50, 1, Ribera Baja/Erribera Beitia
51, 1, Salvatierra/Agurain
52, 1, Samaniego
53, 1, San Millán/Donemiliaga
54, 1, Urkabustaiz
55, 1, Valdegovía/Gaubea
56, 1, Villabuena de Álava/Eskuernaga
57, 1, Vitoria-Gasteiz
58, 1, Yécora/Iekora
59, 1, Zalduondo
60, 1, Zambrana
61, 1, Zigoitia
62, 1, Zuia
63, 2, Abengibre
64, 2, Alatoz
65, 2, Albacete
66, 2, Albatana
67, 2, Alborea
68, 2, Alcadozo
69, 2, Alcalá del Júcar
70, 2, Alcaraz
71, 2, Almansa
72, 2, Alpera
73, 2, Ayna
74, 2, Balazote
75, 2, Ballestero El
76, 2, Balsa de Ves
77, 2, Barrax
78, 2, Bienservida
79, 2, Bogarra
80, 2, Bonete
81, 2, Bonillo El
82, 2, Carcelén
83, 2, Casas de Juan Núñez
84, 2, Casas de Lázaro
85, 2, Casas de Ves
86, 2, Casas-Ibáñez
87, 2, Caudete
88, 2, Cenizate
89, 2, Chinchilla de Monte-Aragón
90, 2, Corral-Rubio
91, 2, Cotillas
92, 2, Elche de la Sierra
93, 2, Férez
94, 2, Fuensanta
95, 2, Fuente-Álamo
96, 2, Fuentealbilla
97, 2, Gineta La
98, 2, Golosalvo
99, 2, Hellín
100, 2, Herrera La
101, 2, Higueruela
102, 2, Hoya-Gonzalo
103, 2, Jorquera
104, 2, Letur
105, 2, Lezuza
106, 2, Liétor
107, 2, Madrigueras
108, 2, Mahora
109, 2, Masegoso
110, 2, Minaya
111, 2, Molinicos
112, 2, Montalvos
113, 2, Montealegre del Castillo
114, 2, Motilleja
115, 2, Munera
116, 2, Navas de Jorquera
117, 2, Nerpio
118, 2, Ontur
119, 2, Ossa de Montiel
120, 2, Paterna del Madera
121, 2, Peñas de San Pedro
122, 2, Peñascosa
123, 2, Pétrola
124, 2, Povedilla
125, 2, Pozo Cañada
126, 2, Pozohondo
127, 2, Pozo-Lorente
128, 2, Pozuelo
129, 2, Recueja La
130, 2, Riópar
131, 2, Robledo
132, 2, Roda La
133, 2, Salobre
134, 2, San Pedro
135, 2, Socovos
136, 2, Tarazona de la Mancha
137, 2, Tobarra
138, 2, Valdeganga
139, 2, Vianos
140, 2, Villa de Ves
141, 2, Villalgordo del Júcar
142, 2, Villamalea
143, 2, Villapalacios
144, 2, Villarrobledo
145, 2, Villatoya
146, 2, Villavaliente
147, 2, Villaverde de Guadalimar
148, 2, Viveros
149, 2, Yeste
150, 3, Adsubia
151, 3, Agost
152, 3, Agres
153, 3, Aigües
